category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
24,August,12pm - 6pm,Sunday,4861,1,13,64,Popular
23,August,12pm - 6pm,Sunday,4497,41,20,76,Highly Popular
24,August,6am - 12pm,Sunday,1042,9,15,21,Highly Popular
17,August,6pm - 12am,Saturday,851,9,7,25,Highly Popular
23,August,12pm - 6pm,Sunday,1278,40,4,28,Highly Popular
2,August,12pm - 6pm,Sunday,962,15,2,33,Highly Popular
19,August,6pm - 12am,Sunday,910,31,4,33,Popular
20,August,6pm - 12am,Saturday,1407,22,6,44,Hyper Popular
24,August,12am - 6am,Monday,866,14,20,47,Highly Popular
22,August,12pm - 6pm,Sunday,1323,25,3,37,Popular
24,August,6am - 12pm,Sunday,463,22,2,50,Very Popular
26,August,12pm - 6pm,Sunday,4921,23,5,31,Popular
26,August,12pm - 6pm,Sunday,1340,12,31,37,Popular
24,August,6am - 12pm,Monday,1870,1,6,48,Popular
2,August,12pm - 6pm,Sunday,509,29,7,47,Popular
23,August,12pm - 6pm,Monday,335,5,0,23,Very Popular
24,August,12pm - 6pm,Sunday,499,5,0,37,Hyper Popular
10,August,12pm - 6pm,Monday,1883,1,10,61,Popular
24,August,6am - 12pm,Sunday,437,45,15,34,Hyper Popular
17,August,6pm - 12am,Sunday,708,25,35,60,Popular
17,August,12pm - 6pm,Sunday,749,28,4,87,Very Popular
24,August,6pm - 12am,Saturday,833,9,43,51,Hyper Popular
24,August,6pm - 12am,Sunday,1587,7,22,25,Hyper Popular
24,August,6pm - 12am,Monday,786,18,27,49,Popular
17,August,12am - 6am,Saturday,81,3,11,62,Popular
25,August,12pm - 6pm,Friday,847,8,2,54,Hyper Popular
23,August,12pm - 6pm,Saturday,599,5,29,42,Highly Popular
17,August,6am - 12pm,Saturday,231,6,13,44,Popular
17,August,6am - 12pm,Sunday,2983,46,16,79,Popular
10,August,6am - 12pm,Friday,312,12,4,37,Hyper Popular
20,August,12am - 6am,Sunday,337,1,6,27,Hyper Popular
25,August,6pm - 12am,Sunday,314,1,2,74,Popular
24,August,6pm - 12am,Sunday,1318,26,2,48,Hyper Popular
10,August,12pm - 6pm,Saturday,2294,29,13,77,Very Popular
24,August,6pm - 12am,Saturday,702,1,25,28,Highly Popular
17,August,6pm - 12am,Saturday,329,13,14,46,Popular
26,August,12am - 6am,Sunday,1704,31,10,16,Very Popular
24,August,12pm - 6pm,Sunday,197,8,10,45,Popular
20,August,12pm - 6pm,Saturday,2483,11,21,70,Hyper Popular
20,August,12pm - 6pm,Thursday,547,1,6,33,Hyper Popular
23,August,6pm - 12am,Sunday,227,16,29,41,Popular
23,August,12am - 6am,Saturday,187,1,2,41,Highly Popular
10,August,12am - 6am,Friday,716,5,11,54,Hyper Popular
17,August,6am - 12pm,Monday,2796,34,3,29,Popular
15,August,12pm - 6pm,Sunday,1222,14,36,58,Popular
2,August,6am - 12pm,Sunday,449,61,1,41,Popular
24,July,6pm - 12am,Monday,745,21,29,61,Hyper Popular
26,August,6pm - 12am,Saturday,772,9,25,28,Popular
24,August,6pm - 12am,Friday,1042,12,34,41,Highly Popular
17,August,12pm - 6pm,Saturday,627,14,17,69,Very Popular
17,August,6pm - 12am,Saturday,334,12,15,51,Popular
25,August,12pm - 6pm,Saturday,413,3,1,86,Highly Popular
22,August,12pm - 6pm,Saturday,1251,15,7,36,Hyper Popular
26,August,12pm - 6pm,Saturday,3180,59,9,68,Popular
27,August,12pm - 6pm,Saturday,3257,12,6,40,Popular
22,August,12pm - 6pm,Saturday,1354,33,5,45,Popular
10,August,12am - 6am,Friday,440,6,6,76,Hyper Popular
25,August,12am - 6am,Saturday,1128,13,2,60,Hyper Popular
24,August,12pm - 6pm,Saturday,2180,42,20,66,Very Popular
24,August,6am - 12pm,Friday,1845,42,13,20,Hyper Popular
25,August,6am - 12pm,Friday,697,2,2,56,Very Popular
22,August,6pm - 12am,Friday,423,20,37,47,Highly Popular
20,August,12pm - 6pm,Thursday,890,25,6,46,Hyper Popular
24,August,6pm - 12am,Friday,1285,22,51,61,Hyper Popular
17,August,12pm - 6pm,Sunday,1441,12,16,39,Very Popular
17,August,12pm - 6pm,Saturday,1510,41,13,96,Highly Popular
1,August,12pm - 6pm,Friday,461,23,3,23,Highly Popular
