category_id,month,dayparting_name,weekday,desc_row,num_tags,title_upper,title_length,popularity
17,August,6pm - 12am,Monday,769,1,7,51,Popular
23,August,12pm - 6pm,Saturday,1203,22,4,30,Hyper Popular
24,August,12pm - 6pm,Sunday,816,27,10,69,Popular
25,August,6pm - 12am,Monday,375,11,5,67,Popular
24,August,12pm - 6pm,Sunday,581,33,31,46,Popular
23,August,12pm - 6pm,Sunday,440,24,6,35,Highly Popular
17,August,12am - 6am,Monday,439,3,10,66,Popular
24,August,6pm - 12am,Saturday,623,25,31,60,Hyper Popular
17,August,6pm - 12am,Sunday,975,28,7,31,Highly Popular
10,August,12pm - 6pm,Monday,1883,1,10,61,Popular
22,August,12pm - 6pm,Sunday,216,23,30,38,Highly Popular
25,August,12pm - 6pm,Monday,57,2,1,33,Popular
24,August,12pm - 6pm,Sunday,1019,19,7,62,Popular
10,August,12am - 6am,Friday,1275,33,11,62,Hyper Popular
23,August,12pm - 6pm,Sunday,1278,40,4,28,Highly Popular
23,August,6pm - 12am,Monday,633,13,31,54,Highly Popular
19,August,12pm - 6pm,Sunday,1439,12,9,24,Popular
23,August,6pm - 12am,Sunday,1036,17,38,65,Popular
22,August,6pm - 12am,Saturday,545,9,23,27,Highly Popular
20,August,6pm - 12am,Sunday,362,12,33,53,Popular
17,August,6am - 12pm,Sunday,2983,46,16,79,Popular
17,August,6am - 12pm,Monday,2796,34,3,29,Popular
17,August,6pm - 12am,Sunday,1080,29,11,96,Popular
24,August,12pm - 6pm,Sunday,197,8,10,45,Popular
17,August,12pm - 6pm,Sunday,325,17,5,44,Hyper Popular
20,August,6pm - 12am,Saturday,1407,22,6,44,Hyper Popular
24,August,12am - 6am,Tuesday,800,15,29,64,Popular
26,August,6am - 12pm,Sunday,657,13,12,70,Popular
17,August,6pm - 12am,Saturday,669,25,17,100,Hyper Popular
25,August,12am - 6am,Saturday,1128,13,2,60,Hyper Popular
24,August,12am - 6am,Monday,866,14,20,47,Highly Popular
20,August,12am - 6am,Sunday,337,1,6,27,Hyper Popular
26,August,12pm - 6pm,Sunday,4921,23,5,31,Popular
2,August,12pm - 6pm,Sunday,962,15,2,33,Highly Popular
17,August,12pm - 6pm,Sunday,940,23,17,29,Popular
19,August,12pm - 6pm,Sunday,349,11,13,25,Popular
25,August,12pm - 6pm,Friday,847,8,2,54,Hyper Popular
2,August,12pm - 6pm,Sunday,509,29,7,47,Popular
17,August,6pm - 12am,Saturday,636,18,8,96,Popular
22,August,6am - 12pm,Sunday,1816,8,0,24,Popular
17,August,12pm - 6pm,Sunday,749,28,4,87,Very Popular
23,August,6am - 12pm,Tuesday,1314,32,7,43,Popular
24,August,6pm - 12am,Saturday,702,1,25,28,Highly Popular
24,August,6am - 12pm,Sunday,437,45,15,34,Hyper Popular
24,August,12am - 6am,Monday,860,1,31,81,Popular
24,August,6am - 12pm,Monday,592,24,6,30,Hyper Popular
10,August,6pm - 12am,Thursday,696,1,8,24,Highly Popular
24,August,12am - 6am,Monday,807,20,31,68,Popular
17,August,6am - 12pm,Saturday,488,7,4,42,Popular
17,August,6am - 12pm,Saturday,3064,16,68,96,Popular
25,August,6am - 12pm,Saturday,3163,1,13,96,Popular
23,August,6am - 12pm,Sunday,435,10,15,49,Popular
24,August,6pm - 12am,Friday,1042,12,34,41,Highly Popular
24,August,12pm - 6pm,Saturday,975,30,15,69,Very Popular
20,August,6am - 12pm,Monday,1176,28,3,59,Popular
20,August,12pm - 6pm,Thursday,547,1,6,33,Hyper Popular
23,August,12pm - 6pm,Saturday,308,1,5,46,Popular
17,August,12am - 6am,Sunday,1439,6,14,87,Popular
26,August,12am - 6am,Sunday,1704,31,10,16,Very Popular
24,August,6pm - 12am,Saturday,663,1,5,37,Popular
23,August,12am - 6am,Saturday,187,1,2,41,Highly Popular
17,August,6am - 12pm,Sunday,1800,40,13,70,Popular
10,August,12pm - 6pm,Saturday,2294,29,13,77,Very Popular
22,August,12pm - 6pm,Saturday,1251,15,7,36,Hyper Popular
2,August,6pm - 12am,Saturday,1963,19,11,93,Popular
10,August,12pm - 6pm,Saturday,919,17,24,67,Very Popular
10,August,12am - 6am,Friday,716,5,11,54,Hyper Popular
22,August,12pm - 6pm,Saturday,1354,33,5,45,Popular
17,August,6am - 12pm,Sunday,549,17,21,73,Popular
10,August,12pm - 6pm,Friday,2209,36,4,33,Highly Popular
24,August,6pm - 12am,Saturday,431,8,6,71,Popular
17,August,12pm - 6pm,Saturday,627,14,17,69,Very Popular
26,August,6pm - 12am,Saturday,772,9,25,28,Popular
22,August,6pm - 12am,Saturday,800,1,5,38,Popular
27,August,12pm - 6pm,Saturday,3257,12,6,40,Popular
17,August,12pm - 6pm,Saturday,326,17,5,50,Hyper Popular
22,August,6pm - 12am,Friday,423,20,37,47,Highly Popular
24,August,6pm - 12am,Friday,118,4,4,57,Very Popular
10,August,12am - 6am,Friday,440,6,6,76,Hyper Popular
27,August,6am - 12pm,Saturday,1299,29,13,76,Popular
25,August,6pm - 12am,Saturday,1091,7,11,75,Popular
17,August,12pm - 6pm,Saturday,230,10,4,50,Popular
10,August,12am - 6am,Friday,371,27,26,70,Very Popular
10,August,6am - 12pm,Friday,1318,38,6,46,Highly Popular
24,August,6am - 12pm,Friday,1845,42,13,20,Hyper Popular
17,August,6am - 12pm,Saturday,1054,31,9,74,Very Popular
20,August,12pm - 6pm,Thursday,890,25,6,46,Hyper Popular
10,August,12am - 6am,Friday,215,28,4,24,Highly Popular
17,August,6pm - 12am,Friday,246,12,24,49,Popular
10,August,12pm - 6pm,Thursday,546,3,7,50,Hyper Popular
1,August,12pm - 6pm,Friday,461,23,3,23,Highly Popular
24,August,6pm - 12am,Thursday,687,6,4,52,Hyper Popular
10,August,6pm - 12am,Thursday,964,45,5,39,Very Popular
17,August,12am - 6am,Saturday,852,6,21,100,Popular
1,August,6pm - 12am,Friday,868,10,5,32,Very Popular
23,August,12pm - 6pm,Thursday,1077,34,3,9,Highly Popular
24,August,6am - 12pm,Friday,1941,21,12,75,Very Popular
28,August,12pm - 6pm,Friday,1127,19,15,61,Popular
17,August,6pm - 12am,Wednesday,983,26,10,98,Popular
26,August,6am - 12pm,Thursday,257,12,25,35,Popular
24,August,6pm - 12am,Wednesday,726,7,31,36,Very Popular
24,August,12pm - 6pm,Wednesday,1387,3,11,37,Very Popular
17,August,6pm - 12am,Wednesday,523,2,11,55,Very Popular
24,August,6pm - 12am,Wednesday,863,4,5,22,Popular
2,August,12pm - 6pm,Wednesday,41,46,32,41,Popular
27,August,12pm - 6pm,Wednesday,265,10,18,43,Popular
20,August,12pm - 6pm,Wednesday,1562,5,8,37,Very Popular
24,August,12pm - 6pm,Tuesday,513,30,5,53,Hyper Popular
24,August,12am - 6am,Thursday,223,3,7,46,Popular
10,August,6am - 12pm,Wednesday,1483,1,7,52,Very Popular
27,August,6pm - 12am,Tuesday,1041,43,34,44,Popular
24,August,6am - 12pm,Thursday,417,14,10,41,Popular
10,August,12am - 6am,Thursday,284,1,6,47,Popular
20,August,6am - 12pm,Wednesday,425,1,6,26,Very Popular
10,August,6pm - 12am,Wednesday,483,13,9,51,Popular
10,August,12am - 6am,Thursday,229,1,9,38,Popular
22,August,12pm - 6pm,Wednesday,736,25,12,64,Popular
17,August,6pm - 12am,Wednesday,236,4,19,78,Popular
17,August,12pm - 6pm,Wednesday,247,26,24,67,Popular
20,August,12pm - 6pm,Tuesday,715,25,6,60,Hyper Popular
24,August,6pm - 12am,Monday,346,19,4,30,Very Popular
22,August,6pm - 12am,Tuesday,361,15,25,34,Hyper Popular
24,August,12am - 6am,Thursday,519,13,11,47,Popular
25,August,6pm - 12am,Wednesday,556,1,2,82,Popular
22,August,6pm - 12am,Tuesday,469,1,0,34,Highly Popular
10,August,12pm - 6pm,Wednesday,689,23,12,25,Popular
10,August,6am - 12pm,Thursday,689,35,7,39,Popular
10,August,6pm - 12am,Wednesday,452,26,13,52,Popular
17,August,6pm - 12am,Wednesday,498,1,7,95,Popular
26,August,12pm - 6pm,Tuesday,2493,33,11,55,Highly Popular
10,August,6am - 12pm,Tuesday,564,1,15,97,Hyper Popular
28,August,12pm - 6pm,Wednesday,498,11,4,35,Popular
17,August,6pm - 12am,Wednesday,440,8,7,97,Popular
24,August,12pm - 6pm,Wednesday,273,20,21,70,Very Popular
27,August,12pm - 6pm,Tuesday,1236,3,9,18,Highly Popular
17,August,6am - 12pm,Wednesday,780,13,9,55,Popular
17,August,12pm - 6pm,Wednesday,483,15,4,55,Popular
10,August,6pm - 12am,Wednesday,94,8,2,20,Popular
26,August,12pm - 6pm,Wednesday,613,8,1,35,Popular
22,August,6pm - 12am,Wednesday,182,1,3,16,Popular
17,August,6am - 12pm,Wednesday,2830,31,3,27,Popular
24,August,6am - 12pm,Thursday,1624,27,8,63,Popular
2,August,12pm - 6pm,Wednesday,1780,22,8,49,Popular
10,August,12pm - 6pm,Wednesday,2916,25,4,31,Popular
17,August,12pm - 6pm,Tuesday,919,37,6,73,Popular
26,August,12pm - 6pm,Wednesday,953,13,15,85,Popular
17,August,12am - 6am,Wednesday,411,19,7,48,Highly Popular
10,August,12pm - 6pm,Wednesday,262,1,5,37,Hyper Popular
25,August,12am - 6am,Wednesday,309,12,6,90,Popular
23,August,12pm - 6pm,Wednesday,2320,43,12,38,Very Popular
20,August,12pm - 6pm,Monday,946,4,9,43,Highly Popular
10,August,12pm - 6pm,Tuesday,301,47,14,25,Hyper Popular
20,August,12pm - 6pm,Monday,844,27,5,25,Highly Popular
17,August,6am - 12pm,Wednesday,211,1,4,31,Popular
17,August,6pm - 12am,Tuesday,720,22,30,45,Popular
17,August,12pm - 6pm,Tuesday,199,6,41,63,Popular
10,August,6pm - 12am,Tuesday,3004,25,19,38,Popular
10,August,12pm - 6pm,Tuesday,762,23,8,56,Very Popular
20,August,12pm - 6pm,Tuesday,2446,24,11,72,Popular
23,August,12pm - 6pm,Tuesday,180,38,11,62,Popular
24,August,6pm - 12am,Tuesday,1218,39,4,25,Hyper Popular
17,August,12pm - 6pm,Tuesday,2426,6,19,100,Popular
24,August,6pm - 12am,Tuesday,1402,6,16,56,Highly Popular
24,August,6pm - 12am,Monday,1068,9,10,49,Highly Popular
22,August,12pm - 6pm,Tuesday,440,9,4,40,Popular
10,August,6pm - 12am,Tuesday,1086,1,0,34,Popular
24,August,6pm - 12am,Monday,1794,27,47,60,Very Popular
1,August,12pm - 6pm,Tuesday,796,20,6,44,Highly Popular
25,August,6am - 12pm,Wednesday,866,17,3,60,Popular
17,August,6pm - 12am,Tuesday,247,20,11,85,Popular
10,August,6am - 12pm,Wednesday,421,1,9,50,Popular
10,August,6am - 12pm,Tuesday,524,13,9,48,Hyper Popular
24,August,6am - 12pm,Wednesday,1838,1,9,55,Popular
27,August,12pm - 6pm,Tuesday,486,36,6,45,Highly Popular
26,August,12pm - 6pm,Tuesday,1566,28,17,66,Popular
23,August,6pm - 12am,Monday,1567,24,8,57,Highly Popular
28,August,12pm - 6pm,Sunday,1513,6,7,45,Hyper Popular
10,August,12pm - 6pm,Monday,4459,4,7,43,Highly Popular
24,August,12pm - 6pm,Monday,1062,33,15,67,Popular
1,August,6pm - 12am,Monday,419,28,2,18,Highly Popular
